"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17","1,324.20","1,291.75","1,327.97","1,222.80","40.30M","2.43%"
"Nov 17","1,292.73","1,286.35","1,361.56","1,264.22","39.63M","0.50%"
"Oct 17","1,286.35","1,196.15","1,294.20","1,188.51","35.63M","7.72%"
"Sep 17","1,194.17","1,215.76","1,245.67","1,187.08","33.58M","-2.42%"
"Aug 17","1,223.78","1,225.57","1,250.03","1,206.01","32.62M","0.18%"
"Jul 17","1,221.55","1,155.66","1,267.14","1,140.02","45.82M","5.48%"
"Jun 17","1,158.09","1,240.27","1,328.00","1,138.84","51.19M","-7.24%"
"May 17","1,248.41","1,124.58","1,293.00","1,112.08","51.54M","12.03%"
"Apr 17","1,114.36","1,193.70","1,200.56","1,104.38","43.46M","-6.52%"
"Mar 17","1,192.13","1,215.71","1,268.29","1,179.48","47.39M","-1.40%"
"Feb 17","1,209.02","1,088.30","1,252.53","1,055.46","67.28M","10.60%"
"Jan 17","1,093.11","1,160.17","1,171.62","1,078.52","59.70M","-5.74%"
"Dec 16","1,159.66","1,116.25","1,166.05","1,051.85","41.66M","3.93%"
"Nov 16","1,115.78","1,176.40","1,176.40","1,005.90","54.42M","-4.81%"
"Oct 16","1,172.16","1,201.06","1,204.81","1,123.11","41.59M","-1.64%"
"Sep 16","1,191.64","1,237.77","1,242.70","1,120.05","51.84M","-3.21%"
"Aug 16","1,231.11","1,290.28","1,345.57","1,209.27","46.04M","-4.12%"
"Jul 16","1,284.05","1,255.96","1,291.70","1,178.26","52.25M","2.59%"
"Jun 16","1,251.60","1,260.47","1,312.68","1,205.17","43.85M","-0.63%"
"May 16","1,259.59","1,239.78","1,297.63","1,191.74","33.66M","1.34%"
"Apr 16","1,242.97","1,228.02","1,251.79","1,177.67","49.20M","0.60%"
"Mar 16","1,235.52","1,075.07","1,250.08","1,059.87","43.00M","15.78%"
"Feb 16","1,067.13","1,172.18","1,196.15","1,036.83","34.42M","-8.97%"
"Jan 16","1,172.28","1,195.66","1,195.66","1,099.58","47.37M","-1.87%"
